Subject,WFIID,PIID,ID,ElType,ElName,Vars,Time
WORKFLOW.default.State.Workflow.Execute,GMBS,,GMBS,,,"[""orderId"": 1, ]",1679580868831298675
WORKFLOW.default.State.Process.Execute,GMBS,iKdf,vZoR,startEvent,StartEvent_1,"[""orderId"": 1, ]",1679580868832568050
WORKFLOW.default.State.Traversal.Execute,GMBS,iKdf,vZoR,startEvent,StartEvent_1,"[""orderId"": 1, ]",1679580868833014060
WORKFLOW.default.State.Process.Execute,GMBS,GsfP,Zu8c,startEvent,StartEvent_2,"[""orderId"": 1, ]",1679580868834155345
WORKFLOW.default.State.Activity.Execute,GMBS,iKdf,EaiZ,startEvent,StartEvent_1,"[""orderId"": 1, ]",1679580868834347200
WORKFLOW.default.State.Traversal.Execute,GMBS,GsfP,Zu8c,startEvent,StartEvent_2,"[""orderId"": 1, ]",1679580868834361588
WORKFLOW.default.State.Traversal.Complete,GMBS,iKdf,vZoR,startEvent,StartEvent_1,"[""orderId"": 1, ]",1679580868834807178
WORKFLOW.default.State.Activity.Complete,GMBS,iKdf,EaiZ,startEvent,StartEvent_1,"[""clientOrderId"": 1, ""carried"": carried1value, ]",1679580868834974938
WORKFLOW.default.State.Workflow.Execute,4I6C,,4I6C,,,"[""orderId"": 49, ]",1679580868835405164
WORKFLOW.default.State.Activity.Execute,GMBS,GsfP,pkt7,startEvent,StartEvent_2,"[""orderId"": 1, ]",1679580868835493723
WORKFLOW.default.State.Traversal.Execute,GMBS,iKdf,6LJa,serviceTask,Step1,"[""carried"": carried1value, ""clientOrderId"": 1, ]",1679580868835917524
WORKFLOW.default.State.Traversal.Complete,GMBS,GsfP,Zu8c,startEvent,StartEvent_2,"[""orderId"": 1, ]",1679580868835930025
WORKFLOW.default.State.Activity.Complete,GMBS,GsfP,pkt7,startEvent,StartEvent_2,"[""orderId"": 1, ""carried2"": carried2value, ]",1679580868836095411
WORKFLOW.default.State.Process.Execute,4I6C,O5bs,cgMT,startEvent,StartEvent_1,"[""orderId"": 49, ]",1679580868836159805
WORKFLOW.default.State.Traversal.Execute,4I6C,O5bs,cgMT,startEvent,StartEvent_1,"[""orderId"": 49, ]",1679580868836449369
WORKFLOW.default.State.Activity.Execute,GMBS,iKdf,WCUy,serviceTask,Step1,"[""clientOrderId"": 1, ""carried"": carried1value, ]",1679580868837086047
WORKFLOW.default.State.Traversal.Execute,GMBS,GsfP,JaN3,messageIntermediateCatchEvent,ReceiveMessage,"[""orderId"": 1, ""carried2"": carried2value, ]",1679580868837138847
WORKFLOW.default.State.Process.Execute,4I6C,7E9a,6TN8,startEvent,StartEvent_2,"[""orderId"": 49, ]",1679580868837601479
WORKFLOW.default.State.Traversal.Complete,GMBS,iKdf,6LJa,serviceTask,Step1,"[""clientOrderId"": 1, ""carried"": carried1value, ]",1679580868837691366
WORKFLOW.default.State.Activity.Execute,4I6C,O5bs,9LAs,startEvent,StartEvent_1,"[""orderId"": 49, ]",1679580868837819246
WORKFLOW.default.State.Traversal.Execute,4I6C,7E9a,6TN8,startEvent,StartEvent_2,"[""orderId"": 49, ]",1679580868837883640
WORKFLOW.default.State.Job.Execute.ServiceTask.2NQ0CEsp6KYdD4Dr1h8AHHXNPhi,GMBS,iKdf,VPNL,serviceTask,Step1,[],1679580868838215459
WORKFLOW.default.State.Traversal.Complete,4I6C,O5bs,cgMT,startEvent,StartEvent_1,"[""orderId"": 49, ]",1679580868838338101
WORKFLOW.default.State.Activity.Execute,GMBS,GsfP,uwQ4,messageIntermediateCatchEvent,ReceiveMessage,"[""orderId"": 1, ""carried2"": carried2value, ]",1679580868838380844
WORKFLOW.default.State.Activity.Complete,4I6C,O5bs,9LAs,startEvent,StartEvent_1,"[""carried"": carried1value, ""clientOrderId"": 49, ]",1679580868838484978
WORKFLOW.default.State.Traversal.Complete,GMBS,GsfP,JaN3,messageIntermediateCatchEvent,ReceiveMessage,"[""orderId"": 1, ""carried2"": carried2value, ]",1679580868839101402
WORKFLOW.default.State.Workflow.Execute,rpBz,,rpBz,,,"[""orderId"": 37, ]",1679580868839212800
WORKFLOW.default.State.Job.Execute.AwaitMessage,GMBS,GsfP,JRwO,messageIntermediateCatchEvent,ReceiveMessage,"[""carried2"": carried2value, ""orderId"": 1, ]",1679580868839407728
WORKFLOW.default.State.Job.Complete.ServiceTask,GMBS,iKdf,VPNL,serviceTask,Step1,[],1679580868839442509
WORKFLOW.default.State.Activity.Execute,4I6C,7E9a,4Ul2,startEvent,StartEvent_2,"[""orderId"": 49, ]",1679580868839448656
WORKFLOW.default.State.Traversal.Execute,4I6C,O5bs,rt9R,serviceTask,Step1,"[""clientOrderId"": 49, ""carried"": carried1value, ]",1679580868839552510
